Question Name,Question,Option A,Option B,Option C,Option D,Answer
Question 1,1.  __________ is a graphics editor which is designed for kids.,(a) Adobe Photoshop   ,(b) Tux Paint    ,(c) MS Paint   ,(d) MacPaint,(b) Tux Paint    
Question 2,2. Tux Paint application was initially created for ________.,(a) Mac OS    ,(b) Ubuntu    ,(c) Windows    ,(d) Linux,(d) Linux
Question 3,3. The ________ option on the side bar allows the user to open existing files.,(a) Open    ,(b) Print    ,(c) Save    ,(d) Quit,(a) Open    
Question 4,4.  The _________ tool lets you draw freehand.,(a) Paint brush    ,(b) Shapes    ,(c) Stamp    ,(d) Lines,(a) Paint brush    
Question 5,5.  The _________ tool lets you paste pre-drawn images.,(a) Paint brush    ,(b) Shapes    ,(c) Stamp    ,(d) Lines,(c) Stamp    
Question 6,6.  The _________ tool lets you draw straight lines using various brushes.,(a) Paint brush    ,(b) Shapes    ,(c) Stamp    ,(d) Lines,(d) Lines
Question 7,7.  The _________ tool lets you draw simple shapes.,(a) Paint brush    ,(b) Shapes    ,(c) Stamp    ,(d) Lines,(b) Shapes    
Question 8,8.  The _________ tool erases whatever you click.,(a) Eraser   ,(b) Shapes    ,(c) Paint brush    ,(d) Lines,(a) Eraser   
Question 9,9.  __________ tool is actually a set of special tools. ,(a) Eraser   ,(b) Shapes    ,(c) Magic   ,(d) Lines,(c) Magic   
Question 10,10.  In ____________ no file dialogs or file name prompts is used.,(a) Double- click save,(b) Triple-click save,(c) One-click save,(d) None of these,(c) One-click save
Question 11,"11.  In Tux Paint, we can save a picture to the virtual ____________.",(a) Text Book      ,(b) Drawing book,(c) Image book,(d) Picture book,(d) Picture book
Question 12,12.  Clicking __________ will undo the last drawing action. ,(a) Undo    ,(b) Redo    ,(c) Erase    ,(d) Back,(a) Undo    
Question 13,"13.  Clicking __________ will redo the drawing action you just ""undid"" with the 'Undo' button. ",(a) Undo    ,(b) Redo    ,(c) Erase    ,(d) Back,(b) Redo    
Question 14,14.  You can also use _________ key on the keyboard to undo. ,(a) Ctrl + Z    ,(b) Ctrl + R    ,(c) Ctrl + N    ,(d) Ctrl + V,(a) Ctrl + Z    
Question 15,15.  You can also use _________ key on the keyboard to redo. ,(a) Ctrl + Z    ,(b) Ctrl + R    ,(c) Ctrl + N    ,(d) Ctrl + V,(b) Ctrl + R    
Question 16,16.  You can also use _________ key on the keyboard to start a new drawing. ,(a) Ctrl + Z    ,(b) Ctrl + R    ,(c) Ctrl + N    ,(d) Ctrl + V,(d) Ctrl + V
Question 17,17.  Click the green _________ button to load the picture selected.,(a) Erase    ,(b) Open    ,(c) Back    ,(d) Slides,(b) Open    
Question 18,18.  Click on the brown __________ button to erase the selected picture. ,(a) Erase    ,(b) Open    ,(c) Back    ,(d) Slides,(a) Erase    
Question 19,19.  Click on the __________ button to go to slideshow mode. ,(a) Erase    ,(b) Open    ,(c) Back    ,(d) Slides,(d) Slides
Question 20,20.  Click on the __________ button to cancel and return to the picture you were drawing. ,(a) Erase    ,(b) Open    ,(c) Back    ,(d) Slides,(c) Back    
Question 21,"21.  As you draw, a sound will be played in Tux Paint. True/False.",(a) True    ,(b) False,,,(a) True    
Question 22,22.  Stamp tool lets you paste _____________ in your picture. ,(a) Pre-drawn images      ,(b) Photographic images,(c) Both a and b,(d) None of these,(c) Both a and b
Question 23,23.  The drawing area in Tux Paint is called as _______________.,(a) Canvas    ,(b) Board   ,(c) Chart   ,(d) Screen,(a) Canvas    
Question 24,24.  The Lines tool lets you draw zig zag lines. True/False.,(a) True    ,(b) False,,,(b) False
Question 25,25.  Shapes tool lets you draw :,(a) Filled shapes     ,(b) Unfilled shapes,(c) Both a and b,(d) None of these,(c) Both a and b
