Question Name,Question,Option A,Option B,Option C,Option D,Answer
Question 1,1.  __________ is a program created by Microsoft and has many tools that help us to create drawings and edit photos. ,(a) Adobe Photoshop   ,(b) Tux Paint    ,(c) MS Paint   ,(d) MacPaint,(c) MS Paint   
Question 2,"2.  File menu, Edit menu, View menu and Help menu are found in:",(a) Menu Bar   ,(b) Tool Bar    ,(c) Tool Box   ,(d) Both a and b,(a) Menu Bar   
Question 3,"3.  __________ is used to create a new file, save, print, set as desktop background, etc. ",(a) File menu   ,(b) Edit menu   ,(c) View menu   ,(d) Help menu,(a) File menu   
Question 4,"4.  __________ is used to undo, redo, copy, paste, etc.",(a) File menu   ,(b) Edit menu   ,(c) View menu   ,(d) Help menu,(b) Edit menu   
Question 5,"5.  __________ is used to display toolbox, colour box, status bar, text toolbar, zoom and view bitmap.",(a) File menu   ,(b) Edit menu   ,(c) View menu   ,(d) Help menu,(c) View menu   
Question 6,6.  __________ provides comprehensive help about the paint program. ,(a) File menu   ,(b) Edit menu   ,(c) View menu   ,(d) Help menu,(d) Help menu
Question 7,"7.  __________ is used to flip, stretch, invert colours among others. ",(a) File menu   ,(b) Edit menu   ,(c) Colours menu   ,(d) Image menu,(d) Image menu
Question 8,8.  __________ is used to edit colours. ,(a) File menu   ,(b) Edit menu   ,(c) Colours menu   ,(d) Image menu,(c) Colours menu   
Question 9,"9.  Color eraser, Pick color, Pencil, Airbrush, etc., are found in:",(a) Menu Bar   ,(b) Tool Bar    ,(c) Tool Box   ,(d) Both a and b,(c) Tool Box   
Question 10,10.  ___________ contains variety of colours that you will use for your drawings. ,(a) Menu Bar   ,(b) Tool Bar    ,(c) Tool Box   ,(d) Colour Box,(d) Colour Box
Question 11,11.  ___________ is used to select a specific object which you can copy and paste in another location.,(a) Free-form select   ,(b) Select tool   ,(c) Pick colour  ,(d) Both a & b,(d) Both a & b
Question 12,12.  ____________ picks the colour you want and makes it as the active colour.,(a) Free-form select   ,(b) Colour picker    ,(c) Airbrush   ,(d) Line tool ,(b) Colour picker    
Question 13,13.  ____________ is used for erasing your drawing.,(a) Free-form select   ,(b) Colour eraser ,(c) Airbrush   ,(d) Line tool ,(b) Colour eraser 
Question 14,14.  ___________ is used to draw a line. ,(a) Fill with colour   ,(b) Colour picker    ,(c) Airbrush   ,(d) Line tool ,(d) Line tool 
Question 15,15.  ___________ is used for spraying your object with colour. ,(a) Fill with colour   ,(b) Colour picker    ,(c) Airbrush   ,(d) Line tool ,(c) Airbrush   
Question 16,16.  ___________ is used to fill an object with colour at one go. ,(a) Free-form select   ,(b) Colour picker    ,(c) Airbrush   ,(d) Line tool ,(a) Free-form select   
Question 17,17.  ___________ is a zooming tool.,(a) Curve tool    ,(b) Text field    ,(c) Magnifier   ,(d) Polygon tool,(c) Magnifier   
Question 18,18.  ___________ is used for entering text.,(a) Curve tool    ,(b) Text field    ,(c) Magnifier   ,(d) Polygon tool,(b) Text field    
Question 19,19.  ___________ is used for drawing a polygon but still you can draw a lot of other objects. ,(a) Curve tool    ,(b) Text field    ,(c) Rectangle tool   ,(d) Polygon tool,(d) Polygon tool
Question 20,20.  ___________ is used to draw a rectangle with rounded corners. ,(a) Curve tool    ,(b) Rounded rectangle tool    ,(c) Rectangle tool   ,(d) Polygon tool,(b) Rounded rectangle tool    
Question 21,21.  To open MS Paint :,(a) Press Start key > Select Tux Paint ,(b) Press Start key > Select MS Paint   ,(c) Go to File Explorer > Select Tux Paint  ,(d) Go to File Explorer > Select MS Paint,(b) Press Start key > Select MS Paint   
Question 22,22.  The tool which looks like a magnifying glass is __________.,(a) Ellipse tool    ,(b) Pick color   ,(c) Magnifier   ,(d) Select tool,(c) Magnifier   
Question 23,23.  To make your drawing as your computer desktop background : ,(a) Click on File > Set as Desktop Background ,(b) Click on Edit > Set as Desktop Background ,(c) Click on View > Set as Desktop Background  ,(d) Click on Home > Set as Desktop Background ,(a) Click on File > Set as Desktop Background 
Question 24,"24.  To add texts to your drawings, click the _______ icon on the Tools panel.",(a) B   ,(b) I  ,(c) U   ,(d) A,(d) A
Question 25,25.  To close Microsoft Paint : ,(a) Click on File > Exit,(b) Click on X icon on the right top of the window,(c) Both a and b ,(d) None of these,(c) Both a and b 
