Question Name,Question,Option A,Option B,Option C,Option D,Answer
Question 1,1.  __________ is a program created by Microsoft and used to type the      text in a document.    ,(a) MS Paint   ,(b) MS Word   ,(c) Notepad   ,(d) MS Powerpoint,(b) MS Word   
Question 2,2.  Documents are saved in Word with the extension(s):,(a) .doc,(b) .docx    ,(c) .docs    ,(d) Both a & b,(d) Both a & b
Question 3,3.  ___________ displays the document name followed by the name of the document. ,(a) Title bar    ,(b) Ribbon    ,(c) Quick access toolbar    ,(d) Work area,(a) Title bar    
Question 4,"4.  ___________ contains the save, undo and redo commands. ",(a) Title bar    ,(b) Ribbon    ,(c) Quick access toolbar    ,(d) Work area,(c) Quick access toolbar    
Question 5,"5.  ___________ contains several tabs on it like File, Home, Insert, Page Layout and so on.",(a) Title bar    ,(b) Ribbon    ,(c) Quick access toolbar    ,(d) Work area,(b) Ribbon    
Question 6,6.  ___________ is used for typing and editing the text. ,(a) Title bar    ,(b) Ribbon    ,(c) Quick access toolbar    ,(d) Work area,(d) Work area
Question 7,7.  ___________ key will select the text in the direction of the arrow key. ,(a) Ctrl + arrow    ,(b) Tab + arrow   ,(c) arrow + Enter   ,(d) Shift + arrow,(d) Shift + arrow
Question 8,"8.  A __________ is a combination of size, pitch, and spacing.",(a) Shape    ,(b) Layout    ,(c) Font    ,(d) Design,(c) Font    
Question 9,"9.  To add a Font, click on the ____________.",(a) Home tab   ,(b) Insert tab    ,(c) Layout tab    ,(d) Design tab,(a) Home tab   
Question 10,10.  ___________ changes the text with a strong mark which is usually weighted than surrounding text. ,(a) Italic    ,(b) Underline    ,(c) Strikethrough    ,(d) Bold,(d) Bold
Question 11,11.  ___________ is used to Italicise the selected text which usually appears slanted to the right.,(a) Italic    ,(b) Underline    ,(c) Strikethrough    ,(d) Bold,(a) Italic    
Question 12,12.  ___________ adds a line under the selected text.,(a) Italic    ,(b) Underline    ,(c) Strikethrough    ,(d) Bold,(b) Underline    
Question 13,13.  ___________ is used to add a line through the middle of the selected text. ,(a) Italic    ,(b) Underline    ,(c) Strikethrough    ,(d) Bold,(c) Strikethrough    
Question 14,14.  The keyboard shortcut for Bold is :,(a) Ctrl + U    ,(b) Ctrl + B    ,(c) Ctrl + S    ,(d) Ctrl + I,(b) Ctrl + B    
Question 15,15.  The keyboard shortcut for Italic is :,(a) Ctrl + U    ,(b) Ctrl + B    ,(c) Ctrl + S    ,(d) Ctrl + I,(d) Ctrl + I
Question 16,16.  The keyboard shortcut for Underline is :,(a) Ctrl + U    ,(b) Ctrl + B    ,(c) Ctrl + S    ,(d) Ctrl + I,(a) Ctrl + U    
Question 17,"17.  To insert a shape, click __________ -> click Shapes -> select a shape -> click and drag to draw the shape. ",(a) Home tab   ,(b) Insert tab    ,(c) Layout tab    ,(d) Design tab,(b) Insert tab    
Question 18,"18.  After you added shapes, you can add text, bullets and numbering to them, and you can change their fill, outline and other effects on the ____________. ",(a) Home tab   ,(b) Insert tab    ,(c) Format tab    ,(d) Design tab,(c) Format tab    
Question 19,"19.  For saving new changes in the existing document, just press _________ key to save the changes. ",(a) Ctrl + U    ,(b) Ctrl + B    ,(c) Ctrl + S    ,(d) Ctrl + I,(c) Ctrl + S    
Question 20,20.  The keyboard shortcut to select all text is _____________.,(a) Ctrl + V    ,(b) Ctrl + C    ,(c) Ctrl + P    ,(d) Ctrl + A,(d) Ctrl + A
Question 21,21.  To open MS Word :,(a) Press Start key > Select MS Paint ,(b) Press Start key > Select MS Word   ,(c) Go to File Explorer > Select MS Paint  ,(d) Go to File Explorer > Select MS Word,(b) Press Start key > Select MS Word   
Question 22,"22.  To create a New Document, Click on _______ tab and select New option.",(a) File    ,(b) Home    ,(c) Insert   ,(d) Layout,(a) File    
Question 23,23.  The Quick access toolbar contains : I. Save    II. Undo    III. Redo    IV. Copy,(a) I & II only   ,(b) I & IV only    ,"(c) I, II & III only   ","(d) I, II, III & IV.","(c) I, II & III only   "
Question 24,24.  The blinking small vertical bar at text area is called the ___________.,(a) Insertion point   ,(b) Exit point    ,(c) Line tool   ,(d) Typing area,(a) Insertion point   
Question 25,"25.  To add a new paragraph, you need to press :",(a) Shift key    ,(b) Ctrl key  ,(c) Alt key   ,(d) Enter key,(d) Enter key
